"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"11","OWID_NAM",NA,"북미",2022-10-04,114383045,61078,50513.571,1514318,546,508.286,190535.628,101.742,84.144,2522.503,0.91,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071153176,450186358,386829350,240529684,1447044,1371867,178.43,74.99,64.44,40.07,2285,82349,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"12","OWID_OCE",NA,"오세아니아",2022-10-04,12414458,1536,7370.857,20067,6,40.714,275638.815,34.104,163.655,445.549,0.133,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79694360,28835664,27777715,23017077,5294,4622,176.95,64.02,61.67,51.1,103,1047,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"13","OWID_SAM",NA,"남미",2022-10-04,64000408,2379,11515.714,1329659,27,124.286,146515.486,5.446,26.363,3043.975,0.062,0.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926730690,371749647,334068912,233235803,97024,114852,212.16,85.1,76.48,53.39,263,13732,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"14","KOR","Asia","한국",2022-10-04,24882894,34710,24729.286,28544,16,32.286,480218.199,669.873,477.254,550.874,0.309,0.623,0.77,353,6.813,1384,26.71,NA,NA,783,15.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,129362868,44846530,44422553,41072780,7081,6317,249.66,86.55,85.73,79.27,122,153,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"15","OWID_AFR",NA,"아프리카",2022-10-05,12360782,780,955.571,256786,11,6.429,8663.675,0.547,0.67,179.981,0.008,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641934181,406829255,324786088,51883075,1266088,1249783,44.99,28.51,22.76,3.64,876,932994,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"16","OWID_ASI",NA,"아시아",2022-10-05,186038148,149638,126971,1486408,240,263.571,39403.313,31.694,26.893,314.825,0.051,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8724085951,3608232655,3389912688,1658618499,2989281,3576429,184.78,76.42,71.8,35.13,757,203317,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"17","OWID_EUR",NA,"유럽",2022-10-05,230632758,330710,241734.143,1945615,677,531.857,309654.057,444.021,324.559,2612.238,0.909,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1333362258,516524319,496254513,334260781,582713,476534,179.02,69.35,66.63,44.88,640,67228,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"18","OWID_NAM",NA,"북미",2022-10-05,114463090,80045,48931.857,1515350,1036,467.571,190668.964,133.336,81.509,2524.222,1.726,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072022207,450269901,386889317,240580962,1536839,1372283,178.57,75,64.45,40.08,2286,81685,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"19","OWID_OCE",NA,"오세아니아",2022-10-05,12417556,3098,7470.143,20082,15,39.857,275707.6,68.785,165.86,445.882,0.333,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79698444,28835742,27777866,23019701,4893,4581,176.95,64.02,61.68,51.11,102,1015,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"20","OWID_SAM",NA,"남미",2022-10-05,64018820,18412,11270.286,1329870,211,140.571,146557.636,42.15,25.801,3044.458,0.483,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926774687,371753434,334073063,233271891,96345,95679,212.17,85.11,76.48,53.4,219,12244,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"21","KOR","Asia","한국",2022-10-05,24911497,28603,24408.857,28573,29,29.857,480770.212,552.013,471.07,551.434,0.56,0.576,0.78,333,6.427,1319,25.456,248,4.786,752,14.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,129369673,44846699,44422920,41079060,6805,6113,249.67,86.55,85.73,79.28,118,151,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"22","OWID_AFR",NA,"아프리카",2022-10-06,12361686,904,720.429,256792,6,4.143,8664.308,0.634,0.505,179.986,0.004,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641941184,406831839,324788805,51885945,1266392,1245593,44.99,28.51,22.76,3.64,873,931561,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"23","OWID_ASI",NA,"아시아",2022-10-06,186165264,127116,124932.429,1486683,275,255.571,39430.237,26.923,26.461,314.883,0.058,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8725492442,3608381569,3390096405,1659443518,1373904,3166442,184.81,76.43,71.8,35.15,671,221703,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"24","OWID_EUR",NA,"유럽",2022-10-06,231027596,394838,246019.286,1946262,647,517.714,310184.178,530.121,330.312,2613.106,0.869,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1333736733,516527499,496257861,334624873,466328,464226,179.07,69.35,66.63,44.93,623,62410,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"25","OWID_NAM",NA,"북미",2022-10-06,114534178,71088,44798.286,1516117,767,447.143,190787.381,118.416,74.624,2525.499,1.278,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073007634,450357191,386949843,240761429,1653229,1379752,178.74,75.02,64.46,40.11,2298,81445,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"26","OWID_OCE",NA,"오세아니아",2022-10-06,12449475,31919,7854.286,20176,94,26,276416.299,708.699,174.389,447.969,2.087,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79715159,28835792,27779618,23067331,4991,4562,176.99,64.02,61.68,51.22,101,990,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"27","OWID_SAM",NA,"남미",2022-10-06,64033510,14690,12507.571,1330090,220,159.429,146591.266,33.63,28.633,3044.962,0.504,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926822905,371757760,334077453,233311410,100566,92649,212.18,85.11,76.48,53.41,212,12132,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"28","KOR","Asia","한국",2022-10-06,24933756,22259,23522.143,28614,41,29.714,481199.791,429.579,453.957,552.225,0.791,0.573,0.79,325,6.272,1271,24.529,NA,NA,770,14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,129377153,44846905,44423299,41085967,7480,5800,249.69,86.55,85.73,79.29,112,153,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"29","OWID_AFR",NA,"아프리카",2022-10-07,12362219,533,712.714,256793,1,4.143,8664.682,0.374,0.5,179.986,0.001,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641947728,406834403,324791380,51888485,1265933,1251812,44.99,28.52,22.76,3.64,877,933827,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"30","OWID_ASI",NA,"아시아",2022-10-07,186289619,124355,123685.857,1486944,261,247.571,39456.575,26.339,26.197,314.938,0.055,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8726328926,3608415200,3390194083,1660127872,1761054,2663292,184.83,76.43,71.81,35.16,564,238440,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"31","OWID_EUR",NA,"유럽",2022-10-07,231403197,375601,260188.286,1947189,927,567.143,310688.47,504.293,349.336,2614.351,1.245,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334348581,516540948,496267185,334990089,461909,441205,179.15,69.35,66.63,44.98,592,42989,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"32","OWID_NAM",NA,"북미",2022-10-07,114601363,67185,49113.571,1516620,503,468.429,190899.295,111.915,81.812,2526.337,0.838,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087698972,450637938,388958914,240940074,1617856,1385117,181.19,75.07,64.79,40.14,2307,81293,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"33","OWID_OCE",NA,"오세아니아",2022-10-07,12451992,2517,8038,20218,42,24.857,276472.184,55.885,178.468,448.901,0.933,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79717805,28835839,27779724,23069824,10299,5339,177,64.02,61.68,51.22,119,966,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"34","OWID_SAM",NA,"남미",2022-10-07,64037922,4412,9671.286,1330151,61,144,146601.366,10.1,22.14,3045.101,0.14,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928109117,371936967,334315317,233875067,87880,88011,212.47,85.15,76.53,53.54,201,11935,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"35","KOR","Asia","한국",2022-10-07,24953135,19379,22445.857,28646,32,28.714,481573.789,373.998,433.186,552.843,0.618,0.554,0.79,329,6.349,1264,24.394,NA,NA,730,14.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,129388556,44847254,44424066,41096261,11403,5390,249.71,86.55,85.73,79.31,104,148,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"36","OWID_AFR",NA,"아프리카",2022-10-08,12362407,188,655.571,256793,0,4.143,8664.814,0.132,0.459,179.986,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641953332,406836622,324793640,51890587,1264993,1258484,44.99,28.52,22.76,3.64,882,936266,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"37","OWID_ASI",NA,"아시아",2022-10-08,186403426,113807,121688.714,1487227,283,247.857,39480.68,24.105,25.774,314.998,0.06,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8727506086,3608452241,3390280849,1661063702,1895950,2466640,184.85,76.43,71.81,35.18,522,261087,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"38","OWID_EUR",NA,"유럽",2022-10-08,231494050,90853,259859.143,1947508,319,572.429,310810.452,121.982,348.894,2614.779,0.428,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334475088,516542285,496268767,335112872,239423,435846,179.17,69.35,66.63,44.99,585,36813,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"39","OWID_NAM",NA,"북미",2022-10-08,114610545,9182,48652.714,1516686,66,467.571,190914.59,15.295,81.044,2526.447,0.11,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088246619,450686981,388994934,241061536,606254,1317644,181.28,75.07,64.8,40.16,2195,88297,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"40","OWID_OCE",NA,"오세아니아",2022-10-08,12452832,840,8018.286,20218,0,24.857,276490.835,18.651,178.03,448.901,0,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79719049,28835856,27779802,23070973,8897,6040,177,64.02,61.68,51.22,134,938,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"41","OWID_SAM",NA,"남미",2022-10-08,64042056,4134,9389,1330194,43,145.286,146610.83,9.464,21.494,3045.2,0.098,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928125292,371938585,334316608,233888336,77379,85199,212.47,85.15,76.53,53.54,195,11185,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"42","KOR","Asia","한국",2022-10-08,24970789,17654,21596.857,28675,29,26.571,481914.496,340.707,416.801,553.403,0.56,0.513,0.79,287,5.539,1178,22.734,NA,NA,713,13.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,129392586,44847445,44424450,41099717,4030,5324,249.72,86.55,85.74,79.32,103,155,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"43","OWID_AFR",NA,"아프리카",2022-10-09,12362975,568,706.286,256793,0,4.143,8665.212,0.398,0.495,179.986,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653206572,415861682,333891867,52899612,1260036,1264418,45.78,29.15,23.4,3.71,886,938497,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"44","OWID_ASI",NA,"아시아",2022-10-09,186526018,122592,124573.143,1487486,259,249.714,39506.645,25.965,26.385,315.053,0.055,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8732024249,3608866282,3391068269,1662549145,1534937,2221213,184.95,76.44,71.82,35.21,470,278779,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"45","OWID_EUR",NA,"유럽",2022-10-09,231563573,69523,259171.571,1947773,265,580.857,310903.796,93.344,347.971,2615.135,0.356,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334707838,516543680,496270436,335337559,142497,429779,179.2,69.35,66.63,45.02,577,30550,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"46","OWID_NAM",NA,"북미",2022-10-09,114618728,8183,48887.429,1516709,23,467.429,190928.221,13.631,81.435,2526.485,0.038,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088487792,450710962,389013135,241079743,299780,1231364,181.32,75.08,64.8,40.16,2051,93655,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"47","OWID_OCE",NA,"오세아니아",2022-10-09,12465048,12216,8181.571,20235,17,26.143,276762.067,271.232,181.656,449.279,0.377,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79719422,28835861,27779837,23071306,8026,6750,177,64.02,61.68,51.23,150,910,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"48","OWID_SAM",NA,"남미",2022-10-09,64047908,5852,9332.714,1330262,68,143.571,146624.227,13.397,21.365,3045.355,0.156,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928136348,371939565,334317288,233897732,72260,86960,212.48,85.15,76.53,53.55,199,11049,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"49","KOR","Asia","한국",2022-10-09,24979770,8981,21144.143,28698,23,27,482087.822,173.325,408.064,553.846,0.444,0.521,0.79,305,5.886,1167,22.522,NA,NA,691,13.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,129392663,44847446,44424457,41099786,77,5321,249.72,86.55,85.74,79.32,103,155,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"50","OWID_AFR",NA,"아프리카",2022-10-10,12363955,980,738.571,256796,3,3.714,8665.899,0.687,0.518,179.988,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653210436,415865406,333895635,52899677,926043,1215294,45.78,29.15,23.4,3.71,852,1009602,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"51","OWID_ASI",NA,"아시아",2022-10-10,186636463,110445,128212.857,1487778,292,262.143,39530.038,23.393,27.156,315.115,0.062,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8732996458,3608878478,3391177327,1663224619,1254860,1984900,184.97,76.44,71.83,35.23,420,296976,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"52","OWID_EUR",NA,"유럽",2022-10-10,231860538,296965,277569,1948419,646,610.571,311302.509,398.714,372.672,2616.002,0.867,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1335033444,516572651,496303775,335598872,379975,435254,179.25,69.36,66.64,45.06,584,24399,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"53","OWID_NAM",NA,"북미",2022-10-10,114643327,24599,45908.571,1516853,144,440.714,190969.197,40.976,76.473,2526.725,0.24,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089276128,450798725,389069713,241107879,855905,1145269,181.45,75.09,64.81,40.16,1908,98455,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
