"","date","확진자_아프리카","확진자_아시아","확진자_유럽","확진자_북미","확진자_오세아니아","확진자_남미","확진자_한국","백신접종완료자_아프리카","백신접종완료자_아시아","백신접종완료자_유럽","백신접종완료자_북미","백신접종완료자_오세아니아","백신접종완료자_남미","백신접종완료자_한국"
"16",2022-10-18,700,149038,423647,51763,1220,2996,29482,23.81,71.87,66.65,64.89,61.71,76.56,85.74
"17",2022-10-19,618,142432,288076,65248,1128,31163,25369,23.81,71.87,66.65,64.9,61.71,76.56,85.74
"18",2022-10-20,1313,127884,362386,69193,27231,7324,24709,23.87,71.88,66.65,64.91,61.71,76.56,85.74
"19",2022-10-21,572,121899,241240,49544,835,16503,26823,23.87,71.88,66.65,64.93,61.71,76.57,85.74
"20",2022-10-22,165,120592,47441,6931,949,6257,26256,23.87,71.89,66.65,64.93,61.72,76.57,85.74
"21",2022-10-23,355,104013,36535,10311,920,8662,14302,24.03,71.89,66.65,64.94,61.72,76.57,85.74
"22",2022-10-24,5191,107905,206286,41023,17856,8397,43714,24.03,71.89,66.66,64.95,61.72,76.57,85.74
"23",2022-10-25,2127,150542,368500,53139,1610,19047,40805,24.06,71.89,66.66,64.96,61.72,76.57,85.75
"24",2022-10-26,694,153142,220087,75705,1955,15396,34950,24.06,71.89,66.66,64.97,61.72,76.57,85.75
"25",2022-10-27,647,141891,231872,69010,16354,17918,35887,24.06,71.9,66.66,64.98,61.72,76.57,85.75
"26",2022-10-28,788,137864,170513,35552,10840,7951,37296,24.06,71.9,66.66,65,61.72,76.58,85.75
"27",2022-10-29,366,135363,44272,10468,1182,7444,34511,24.06,71.9,66.66,65.01,61.73,76.58,85.75
"28",2022-10-30,615,115068,15893,6494,21591,7654,18510,24.67,71.91,66.66,65.01,61.73,76.58,85.75
"29",2022-10-31,1425,126081,105468,46483,1726,19269,58358,24.67,71.91,66.66,65.02,61.82,76.58,85.75
"30",2022-11-01,1153,179796,151637,55803,1683,11606,54740,24.67,71.91,66.66,65.02,61.82,76.58,85.75
"31",2022-11-02,1117,179259,83129,78731,1939,4148,46870,24.67,71.92,66.67,65.03,61.82,76.58,85.75
"32",2022-11-03,894,170223,208270,80105,19780,14242,43424,24.67,71.92,66.68,65.04,61.83,76.58,85.75
"33",2022-11-04,1096,132030,240433,44626,14560,11392,40863,24.67,71.93,66.68,65.06,61.83,76.59,85.75
"34",2022-11-05,317,166557,15548,5814,1853,11213,36675,24.67,71.93,66.68,65.06,61.83,76.59,85.75
"35",2022-11-06,392,131249,14628,8162,22641,9547,18671,24.81,71.93,66.68,65.06,61.83,76.59,85.75
"36",2022-11-07,3005,135005,106956,45730,2808,12612,62273,24.81,71.93,66.68,65.07,61.83,76.59,85.75
"37",2022-11-08,921,201556,203960,35413,3383,5603,62472,24.81,71.94,66.68,65.08,61.83,76.59,85.75
"38",2022-11-09,941,208338,109227,102118,3582,9886,55365,24.81,71.94,66.68,65.08,61.83,76.59,85.75
"39",2022-11-10,3056,183226,123885,75741,28975,45447,54519,24.81,71.95,66.68,65.09,61.83,76.59,85.75
"40",2022-11-11,881,181990,246476,17366,13176,28480,54225,24.81,71.95,66.73,65.11,61.83,76.6,85.75
"41",2022-11-12,828,192422,26861,6401,7114,8879,48465,24.81,71.95,66.73,65.11,61.83,76.6,85.75
"42",2022-11-13,313,135025,9667,3324,27218,7957,23765,25.27,71.95,66.73,65.11,61.83,76.6,85.75
"43",2022-11-14,1621,163932,119021,55133,3270,4883,72883,25.28,71.95,66.73,65.12,61.84,76.6,85.75
"44",2022-11-15,1999,231778,192868,65819,3908,7410,66587,25.28,71.95,66.73,65.13,61.84,76.6,85.75
"45",2022-11-16,1249,251707,102616,87937,3664,39048,55437,25.28,71.95,66.73,65.14,61.84,76.68,85.76
"46",2022-11-17,1038,189487,125085,60552,59408,44241,49418,25.28,71.96,66.73,65.14,61.84,76.68,85.76
"47",2022-11-18,1287,205268,319984,60035,5346,38539,50435,25.28,71.96,66.73,65.16,61.84,76.86,85.76
"48",2022-11-19,273,219949,12213,6207,2520,6167,46011,25.28,71.97,66.73,65.16,61.84,76.86,85.76
"49",2022-11-20,414,166524,9575,4691,26604,14597,23091,25.55,71.97,66.74,65.16,61.84,76.86,85.76
"50",2022-11-21,1099,175934,105868,50084,4178,4492,72873,25.55,71.97,66.74,65.17,61.86,76.86,85.76
"51",2022-11-22,1202,236884,203593,65830,4600,62123,70324,25.55,71.98,66.74,65.17,61.86,76.86,85.76
"52",2022-11-23,6700,314511,112280,117647,4001,35814,59089,25.55,71.98,66.76,65.18,61.86,76.86,85.76
"53",2022-11-24,908,159511,142932,19018,55646,42192,53698,25.55,71.99,66.76,65.18,61.86,76.86,85.76
"54",2022-11-25,707,241446,357169,25515,15850,57232,52648,25.55,71.99,66.76,65.19,61.86,76.88,85.76
"55",2022-11-26,297,243145,14611,4095,3427,4989,47028,25.55,71.99,66.76,65.19,61.86,76.88,85.76
"56",2022-11-27,619,196717,10758,6919,30198,18187,22327,25.99,71.99,66.76,65.19,61.86,76.88,85.76
"57",2022-11-28,816,190971,137841,64970,4331,6898,71476,26.03,72,66.76,65.2,61.87,76.88,85.76
"58",2022-11-29,1676,311195,246766,78779,2598,89672,67415,26.03,72.01,66.76,65.2,61.87,76.99,85.76
"59",2022-11-30,7399,246800,140409,116663,4765,19587,57079,26.03,72.01,66.76,65.21,61.87,77.21,85.76
"60",2022-12-01,648,248174,168550,112165,82428,93960,52987,26.03,72.02,66.76,65.22,61.87,77.22,85.76
"61",2022-12-02,642,261518,370524,68347,6168,54341,52726,26.03,72.02,66.76,65.37,61.87,77.22,85.76
"62",2022-12-03,529,195047,15619,8821,3181,76583,46564,26.03,72.02,66.78,65.37,61.87,77.23,85.76
"63",2022-12-04,642,179251,8250,5753,37613,25534,23160,26.11,72.06,66.78,65.37,61.87,77.23,85.76
"64",2022-12-05,7829,186480,157488,85908,5096,62548,77604,26.11,72.06,66.78,65.38,61.87,77.23,85.76
"65",2022-12-06,1042,273999,238922,100198,5325,5228,74714,26.11,72.09,66.78,65.38,61.87,77.23,85.76
"66",2022-12-07,1041,284660,149507,154778,4652,40674,65253,26.11,72.09,66.78,65.39,61.87,77.24,85.76
"67",2022-12-08,1193,259410,196368,110630,82683,158598,62734,26.11,72.09,66.78,65.4,61.87,77.24,85.77
"68",2022-12-09,598,245227,366573,40840,6674,10395,62608,26.11,72.09,66.78,65.41,61.87,77.24,85.77
"69",2022-12-10,532,238897,16365,9923,2688,6097,54319,26.11,72.09,66.78,65.41,61.87,77.24,85.77
"70",2022-12-11,428,196041,13922,7956,42944,37833,25667,27.07,72.09,66.84,65.41,61.87,77.24,85.77
"71",2022-12-12,4737,190994,177336,72733,4502,122342,86852,27.11,72.09,66.84,65.42,61.87,77.24,85.77
"72",2022-12-13,696,324657,253251,115507,4963,78946,84571,27.11,72.12,66.84,65.42,61.87,77.25,85.77
"73",2022-12-14,3970,302749,155982,154980,4351,72233,70154,27.11,72.12,66.88,65.43,61.87,77.25,85.77
"74",2022-12-15,1175,277846,190806,122939,75768,81570,66953,27.11,72.13,66.88,65.43,61.87,77.25,85.77
"75",2022-12-16,2817,259541,317114,60121,19018,72919,66752,27.11,72.13,66.88,65.44,61.87,77.32,85.77
"76",2022-12-17,276,245506,17744,23909,10,12815,58862,27.11,72.13,66.88,65.45,61.87,77.33,85.77
"77",2022-12-18,238,204249,13572,7082,48517,9799,26622,27.49,72.13,66.88,65.45,61.87,77.4,85.77
"78",2022-12-19,149,207795,150598,69961,3939,148800,87559,27.49,72.13,66.88,65.45,61.87,77.41,85.77
"79",2022-12-20,2360,321423,221195,95981,4856,67005,88172,27.49,72.14,66.88,65.46,61.87,77.41,85.77
"80",2022-12-21,2544,325080,138582,188321,3975,55321,75744,27.49,72.14,66.88,65.46,61.87,77.41,85.77
"81",2022-12-22,807,305873,193989,106951,81172,70496,68168,27.54,72.15,66.88,65.47,61.87,77.41,85.77
"82",2022-12-23,810,288482,272724,51010,7004,20132,66049,27.54,72.15,66.88,65.47,61.87,77.41,85.77
"83",2022-12-24,595,284936,17500,31767,2268,8000,58448,27.54,72.15,66.88,65.47,61.87,77.42,85.77
"84",2022-12-25,363,224612,12994,3157,1621,8868,25545,27.54,72.15,66.88,65.47,61.87,77.42,85.77
"85",2022-12-26,832,205972,53479,14975,1890,172846,87596,27.54,72.15,66.88,65.47,61.87,77.42,85.77
"86",2022-12-27,867,344244,112550,120898,34130,39797,87517,27.54,72.15,66.94,65.48,61.87,77.42,85.77
"87",2022-12-28,501,346471,110210,121269,2755,55332,71427,27.54,72.15,66.94,65.48,61.87,77.42,85.77
"88",2022-12-29,342,321532,137607,109110,39993,61502,65207,27.54,72.15,66.94,65.48,61.87,77.42,85.77
"89",2022-12-30,1340,276443,205511,42176,5076,49279,62926,27.54,72.16,66.94,65.49,61.87,77.42,85.78
"90",2022-12-31,289,231589,14182,9096,1442,9112,57527,27.54,72.16,66.94,65.49,61.87,77.42,85.78
"91",2023-01-01,514,289882,9372,4764,1274,6968,22735,27.54,72.16,66.94,65.49,61.87,77.42,85.78
"92",2023-01-02,234,204793,90877,8380,51,116384,81056,27.55,72.18,66.94,65.49,61.87,77.42,85.78
"93",2023-01-03,2659,221416,85595,119717,25338,4021,78575,27.55,72.18,66.94,65.49,61.87,77.43,85.78
"94",2023-01-04,465,231739,63752,206849,1677,64922,64106,27.55,72.24,66.94,65.49,61.89,77.43,85.78
"95",2023-01-05,957,351013,170016,145018,54125,12957,56954,27.55,72.24,66.94,65.49,61.89,77.43,85.78
"96",2023-01-06,563,360701,180574,88744,15430,71853,53608,27.56,72.24,66.94,65.5,61.89,77.53,85.78
"97",2023-01-07,323,340148,7571,7815,14,4419,46766,NA,72.24,66.94,65.5,61.89,77.53,85.78
"98",2023-01-08,85,257885,6582,13619,25033,10472,19106,NA,72.24,66.94,65.5,61.89,77.53,85.78
"99",2023-01-09,2230,202819,60017,45707,1275,49207,60041,NA,72.24,66.94,65.5,61.89,77.53,85.78
"100",2023-01-10,517,200777,49945,65600,2657,81284,54343,NA,72.24,66.94,65.5,61.89,77.53,85.78
"101",2023-01-11,2570,284077,44169,145621,1438,30259,43953,NA,72.28,66.96,65.5,NA,77.53,85.78
